"STATE","Lower box percent of patients-nephrologists' communication and caring","Middle box percent of patients-nephrologists' communication and caring","Top box percent of patients-nephrologists' communication and caring","Linearized score of nephrologists' communication and caring","Lower box percent of patients-quality of dialysis center care and operations","Middle box percent of patients-quality of dialysis center care and operations","Top box percent of patients-quality of dialysis center care and operations","Linearized score of quality of dialysis center care and operations","Lower box percent of patients-providing information to patients","Top box percent of patients- providing information to patients","Linearized score of providing information to patients","Lower box percent of patients-rating of the nephrologist","Middle box percent of patients- rating of the nephrologist","Top box percent of patients- rating of the nephrologist","Linearized score of rating of the nephrologist","Lower box percent of patients-rating of the dialysis center staff","Middle box percent of patients-rating of the dialysis center staff","Top box percent of patients-rating of the dialysis center staff","Linearized score of rating of the dialysis center staff","Lower box percent of patients-rating of the dialysis facility","Middle box percent of patients-rating of the dialysis facility","Top box percent of patients-rating of the dialysis facility","Linearized score of rating of the dialysis facility","Total number of completed interviews from the Fall and Spring Surveys","Survey response rate"
AK,16,12,72,84,16,19,65,81,19,81,81,12,23,65,86,10,22,68,87,8,17,75,90,222,30
AL,20,14,66,80,20,19,61,79,21,79,79,15,27,58,83,13,27,60,85,13,22,65,86,3400,26
AR,19,14,67,81,20,18,62,79,19,81,81,14,28,58,84,12,27,61,85,12,22,66,87,1578,25
AS,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,22,17,61,77,21,21,58,77,23,77,77,19,27,54,81,15,25,60,84,15,21,64,84,3171,22
CA,19,14,67,81,17,18,65,81,21,79,79,14,26,60,84,10,23,67,87,10,18,72,89,23712,24
CO,16,16,68,82,17,20,63,80,19,81,81,15,25,60,84,12,22,66,86,12,18,70,87,1333,22
CT,19,15,66,80,18,20,62,80,21,79,79,15,26,59,84,11,25,64,86,12,20,68,87,1340,24
DC,21,14,65,79,25,20,55,74,25,75,75,13,31,56,84,17,32,51,81,18,30,52,81,475,21
DE,19,15,66,80,20,18,62,79,22,78,78,17,29,54,82,13,27,60,85,12,22,66,87,621,26
FL,19,14,67,80,18,18,64,80,21,79,79,14,25,61,84,11,24,65,86,12,20,68,87,10279,25
GA,21,14,65,79,21,19,60,77,23,77,77,15,28,57,83,14,29,57,84,15,23,62,85,6566,23
GU,43,14,43,61,22,19,59,77,26,74,74,36,38,26,68,14,28,58,84,13,21,66,86,254,23
HI,19,14,67,81,16,18,66,82,21,79,79,14,25,61,84,7,22,71,89,9,16,75,90,1807,30
IA,15,15,70,84,14,19,67,83,16,84,84,12,23,65,87,9,21,70,88,9,16,75,90,924,29
ID,16,15,69,83,13,19,68,83,19,81,81,13,23,64,86,7,22,71,89,7,16,77,91,470,29
IL,19,15,66,80,17,18,65,81,22,78,78,15,27,58,84,10,25,65,87,11,20,69,88,6344,26
IN,20,16,64,79,16,19,65,81,19,81,81,17,26,57,82,11,23,66,87,11,20,69,88,3408,27
KS,15,15,70,84,15,20,65,82,18,82,82,11,23,66,87,9,22,69,88,9,17,74,89,1075,29
KY,17,15,68,82,16,18,66,82,19,81,81,13,25,62,85,10,21,69,88,10,18,72,88,1943,25
LA,17,13,70,82,19,17,64,80,21,79,79,13,25,62,85,12,25,63,86,12,20,68,87,3275,24
MA,17,14,69,83,17,18,65,81,22,78,78,12,26,62,85,10,23,67,87,10,20,70,88,2242,25
MD,19,15,66,80,21,20,59,77,25,75,75,16,28,56,83,15,28,57,83,16,25,59,84,3437,24
ME,15,15,70,83,13,20,67,83,17,83,83,12,26,62,85,6,22,72,90,7,17,76,90,475,31
MI,18,15,67,81,16,20,64,81,22,78,78,15,26,59,84,11,25,64,86,11,20,69,88,5326,27
MN,14,16,70,84,14,21,65,82,19,81,81,13,27,60,85,9,25,66,88,9,19,72,89,1637,25
MO,18,15,67,81,17,19,64,81,20,80,80,14,26,60,85,12,25,63,86,11,20,69,88,2838,27
MP,26,12,62,77,20,22,58,79,25,75,75,22,22,56,82,12,30,58,85,11,17,72,89,79,23
MS,22,12,66,79,21,17,62,78,23,77,77,16,29,55,83,14,27,59,84,14,21,65,86,2581,26
MT,16,14,70,82,13,20,67,84,18,82,82,13,18,69,87,8,24,68,89,8,17,75,90,304,26
NC,20,15,65,79,21,19,60,78,21,79,79,15,28,57,83,14,26,60,84,14,21,65,86,6589,25
ND,18,17,65,81,12,19,69,85,19,81,81,15,28,57,83,6,19,75,92,7,11,82,92,263,25
NE,17,18,65,81,16,21,63,81,18,82,82,15,25,60,83,10,24,66,87,8,19,73,89,589,26
NH,20,17,63,79,14,20,66,82,18,82,82,15,29,56,83,8,23,69,88,8,20,72,89,449,31
NJ,16,15,69,82,15,18,67,82,21,79,79,12,25,63,86,8,23,69,88,8,18,74,90,4678,24
NM,23,15,62,77,22,18,60,77,23,77,77,20,28,52,80,16,23,61,84,14,20,66,86,1018,21
NV,23,17,60,76,18,19,63,80,22,78,78,21,28,51,79,11,24,65,86,12,20,68,87,1569,23
NY,19,14,67,80,18,18,64,80,24,76,76,15,28,57,83,11,25,64,86,11,22,67,87,9239,24
OH,17,16,67,81,16,19,65,81,19,81,81,14,27,59,84,10,23,67,87,10,20,70,88,5223,25
OK,15,14,71,83,16,19,65,82,20,80,80,11,23,66,87,9,24,67,88,10,19,71,89,1637,22
OR,17,15,68,82,17,22,61,80,20,80,80,13,26,61,85,12,25,63,86,13,20,67,86,1526,27
PA,18,16,66,81,16,20,64,81,20,80,80,15,27,58,84,10,24,66,87,11,19,70,88,6202,26
PR,15,17,68,83,15,20,65,82,14,86,86,13,21,66,86,10,18,72,88,11,15,74,89,2992,33
RI,15,14,71,84,13,18,69,84,18,82,82,13,26,61,85,6,21,73,90,8,17,75,90,417,27
SC,20,14,66,80,19,19,62,79,21,79,79,15,26,59,84,12,28,60,85,13,21,66,86,3350,25
SD,16,16,68,82,14,19,67,82,20,80,80,14,24,62,85,8,20,72,89,8,13,79,90,287,22
TN,22,14,64,78,18,18,64,80,19,81,81,18,26,56,82,12,24,64,86,12,20,68,87,3567,25
TX,18,14,68,81,18,18,64,80,21,79,79,14,24,62,85,12,23,65,86,11,19,70,88,16170,22
UT,19,16,65,80,14,18,68,83,17,83,83,17,25,58,82,8,18,74,89,8,14,78,90,740,26
VA,20,17,63,79,19,20,61,79,21,79,79,17,29,54,82,13,27,60,85,14,22,64,86,4541,27
VI,26,14,60,74,24,22,54,75,33,67,67,19,31,50,77,16,33,51,80,14,31,55,83,35,11
VT,19,14,67,80,10,16,74,87,19,81,81,15,24,61,83,6,15,79,92,6,16,78,92,124,25
WA,14,14,72,85,14,20,66,83,18,82,82,11,24,65,87,8,23,69,89,8,20,72,89,2373,23
WI,18,17,65,80,15,20,65,82,18,82,82,15,27,58,83,10,24,66,87,11,18,71,88,2448,27
WV,18,15,67,81,14,18,68,83,19,81,81,13,26,61,85,9,19,72,89,8,15,77,91,797,30
WY,12,11,77,87,12,15,73,85,23,77,77,7,20,73,90,7,16,77,91,5,13,82,92,125,28
